15
Sammy 3 6 15 2 14
Ben 2 60 324 6 8
Brian 150928 159 329185 29384 100
Armstrong 2147000000 1050 98283847 1 -1984382
Po -1 0 0 1 0
Soap 195 102 12734 14 -1834850
Elon 1861 1 6531 58453 155
Joe 1 2 3 4 -5
Ham -2147000000 4 -1599 -2918 -19283
Clutch 21470000 -2417010 1932 90909 -18383283
Baller 19283 18203 18289854 12993 2147000000
Apluscomputerscience 73491 75091 83219 1728 1794287
Duke 1827 281375 1809247 12083 59812307
Pottstown 1082 18273 377777 1777777 1929222222
Sarah 192734 18828 10983287 182571 8918238
